target,outcome,status,result_present,stage,failure_family,has_traceback,logs
batch_sagear_validation_reference_lc_20260712T233528Z_stdout,incomplete,,False,unknown,no_error_signature,False,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lc_20260712T233528Z_stdout.log
batch_sagear_validation_reference_lc_20260713T101659Z_stderr,incomplete,,False,unknown,no_error_signature,False,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lc_20260713T101659Z_stderr.log
batch_sagear_validation_reference_lc_20260713T101659Z_stdout,incomplete,,False,unknown,no_error_signature,False,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lc_20260713T101659Z_stdout.log
batch_sagear_validation_reference_lc_stderr,incomplete,,False,detrend,celerite_linalg,True,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lc_stderr.log
batch_sagear_validation_reference_lc_stdout,incomplete,,False,detrend,unknown,False,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lc_stdout.log
batch_sagear_validation_reference_lcsc_20260713T174756Z_stderr,incomplete,,False,unknown,no_error_signature,False,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lcsc_20260713T174756Z_stderr.log
batch_sagear_validation_reference_lcsc_20260713T174756Z_stdout,incomplete,,False,unknown,no_error_signature,False,tmp\factorial_full_82_20260715\logs\batch_sagear_validation_reference_lcsc_20260713T174756Z_stdout.log
K00064,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00064.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00064.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00064.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00064.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00064.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00064.stdout.log
K00108,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00108.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00108.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00108.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00108.stdout.log
K00283,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00283.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00283.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00283.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00283.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00283.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00283.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00283.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00283.stdout.log
K00319,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00319.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00319.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00319.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00319.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00319.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00319.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00319.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00319.stdout.log
K00428,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00428.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00428.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00428.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00428.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00428.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00428.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00428.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00428.stdout.log
K00680,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00680.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00680.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00680.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00680.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00680.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00680.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00680.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00680.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00680.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K00680.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00680.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00680.stdout.log
K00846,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00846.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00846.stdout.log
K00890,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00890.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K00890.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00890.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00890.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00890.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00890.stdout.log
K01001,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K01001.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K01001.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K01001.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K01001.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K01001.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K01001.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K01001.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K01001.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K01001.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K01001.stdout.log
K01127,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K01127.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K01127.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K01127.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K01127.stdout.log
K01787,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K01787.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K01787.stdout.log
K02109,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02109.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02109.stdout.log
K02533,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02533.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02533.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K02533.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K02533.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K02533.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K02533.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K02533.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K02533.stdout.log
K02712,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02712.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02712.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K02712.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K02712.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K02712.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K02712.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K02712.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K02712.stdout.log
K02714,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02714.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K02714.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K02714.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K02714.stdout.log
K03389,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K03389.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K03389.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K03389.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K03389.stdout.log
K04382,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K04382.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K04382.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K04382.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K04382.stdout.log
K08068,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K08068.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc\K08068.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K08068.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lc\K08068.stdout.log
K00716,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00716.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00716.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00716.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K00716.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00716.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00716.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00716.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K00716.stdout.log
K00791,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00791.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00791.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00791.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00791.stdout.log
K00856,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00856.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K00856.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00856.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K00856.stdout.log
K01553,success,complete,True,complete,none,True,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K01553.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lc_repeat\K01553.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K01553.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_paper_priors_original_lc\K01553.stdout.log
K01299,success,complete,True,complete,none,False,tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K01299.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_original_lcsc\K01299.stdout.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K01299.stderr.log|tmp\factorial_full_82_20260715\logs\targets\sagear_validation_reference_lcsc\K01299.stdout.log
